ID	Номер участника	Имя	Дата создания	Дата рождения	Пол	Город
19	9412330286527084	Ираида Львовна Павлова	14.02.2017 21:26	30.09.1982	Жен	Москва
114	9547701344970012	Елена Андреевна Виноградова	26.02.2017 22:02	02.03.1964	Жен	Москва
20	3156269041284693	Павел Фёдорович Беляев	14.02.2017 22:32	26.05.1995	Муж	Самара
21	9214271899143604	Наталья Владиславовна Васильева	15.02.2017 1:31	15.06.1986	Жен	Москва
43	8059344190636979	Анна Аркадьевна Богданова	17.02.2017 14:32	28.09.1985	Жен	Санкт-Петербург
22	1956957033294151	Александр Альбертович Кудрявцев	15.02.2017 3:04	21.06.1974	Муж	Казань
23	4024012807989394	Александра Павловна Ковалёва	15.02.2017 7:45	18.12.2004	Жен	Екатеринбург
63	4134042715671204	Нина Витальевна Андреева	20.02.2017 7:01	18.06.1984	Жен	Новосибирск
24	5509409871870217	Анатолий Фёдорович Попов	15.02.2017 10:43	18.01.1996	Муж	Москва
25	3956879588023915	Лилия Викторовна Фёдорова	15.02.2017 12:06	23.03.1953	Жен	Москва
26	8943008520313854	Алексей Юрьевич Семёнов	15.02.2017 13:05	01.12.1977	Муж	Новосибирск
27	6289015118528312	Римма Романовна Макарова	15.02.2017 14:39	22.05.1979	Жен	Санкт-Петербург
92	4534129507738435	Фёдор Никольевич Козлов	24.02.2017 2:13	10.10.1977	Муж	Москва
28	1987786552676420	Лариса Андреевна Новикова	15.02.2017 21:49	24.05.1980	Жен	Москва
29	1476488806460044	Олег Алексеевич Кузьмин	15.02.2017 22:46	29.10.1976	Муж	Санкт-Петербург
121	5338270860168787	Мария Витальевна Андреева	27.02.2017 10:23	01.01.2004	Жен	Екатеринбург
30	8206620523824496	Герман Станиславович Беляев	16.02.2017 4:42	04.02.1981	Муж	Москва
31	8293069321365611	Лариса Валентиновна Беляева	16.02.2017 5:34	13.01.2003	Жен	Ростов-на-Дону
144	6573279599208164	Валерий Михаилович Куликов	01.03.2017 20:05	27.05.1961	Муж	Санкт-Петербург
32	4447892535696922	Зоя Аркадьевна Ковалёва	16.02.2017 7:52	20.10.1968	Жен	Москва
81	6771310462543136	Виктория Андреевна Голубева	23.02.2017 0:40	22.11.1972	Жен	Санкт-Петербург
34	9202798540793412	Василий Эдуардович Белов	16.02.2017 16:18	10.12.1955	Муж	Новосибирск
35	9368006689177618	Станислав Юрьевич Комаров	16.02.2017 17:26	10.02.1991	Муж	Санкт-Петербург
36	4083794053695368	Зинаида Валентиновна Соколова	16.02.2017 18:34	19.06.1974	Жен	Новосибирск
37	3019050315764827	Ираида Альбертовна Белова	16.02.2017 20:41	29.06.1993	Жен	Москва
54	7020991472627239	Антонина Фёдоровна Петрова	19.02.2017 0:07	13.08.1985	Жен	Москва
38	7768461420246521	Наталья Васильевна Соловьёва	17.02.2017 0:47	13.02.2003	Жен	Екатеринбург
39	6690965218344350	Людмила Павловна Комарова	17.02.2017 4:39	23.11.1999	Жен	Москва
85	4295504210091324	Виктория Никольевна Орлова	23.02.2017 4:34	29.04.1977	Жен	Екатеринбург
40	7888359724760104	Людмила Эдуардовна Соловьёва	17.02.2017 7:55	22.05.1988	Жен	Санкт-Петербург
41	4988358069552208	Андрей Валентинович Голубев	17.02.2017 8:27	07.09.1978	Муж	Самара
126	5512089884981741	Лилия Анатольевна Павлова	28.02.2017 0:08	03.09.1984	Жен	Москва
42	7544966485058521	Геннадий Дмитрьевич Белов	17.02.2017 11:18	31.10.1975	Муж	Москва
44	3912657743105747	Алевтина Юрьевна Гусева	17.02.2017 15:40	01.03.1965	Жен	Москва
45	8836215159739206	Пётр Георгьевич Орлов	17.02.2017 18:00	19.10.1984	Муж	Новосибирск
98	8007589167632810	Евгений Алексеевич Новиков	24.02.2017 23:04	15.09.1999	Муж	Москва
46	6348774797952285	Елена Валентиновна Макарова	17.02.2017 20:47	08.02.1988	Жен	Москва
47	7490451653827301	Маргарита Витальевна Волкова	18.02.2017 3:39	15.02.1985	Жен	Москва
48	3239594149622972	Михаил Алексеевич Кудрявцев	18.02.2017 8:22	07.10.1991	Муж	Москва
49	8759613927100218	Анатолий Вячеславович Зайцев	18.02.2017 10:53	13.02.1975	Муж	Москва
57	8107434786071782	Александра Михаиловна Петрова	19.02.2017 11:42	19.10.2004	Жен	Москва
50	7067877489475295	Елена Андреевна Белова	18.02.2017 13:25	27.03.1987	Жен	Москва
51	6031756943916275	Аркадий Витальевич Белов	18.02.2017 16:30	06.08.1984	Муж	Москва
105	7600833107365326	Георгий Георгьевич Орлов	25.02.2017 21:02	12.10.1943	Муж	Казань
53	3149998680035687	Надежда Васильевна Ковалёва	18.02.2017 18:28	02.12.1973	Жен	Санкт-Петербург
123	1712362226122367	Раиса Павловна Орлова	27.02.2017 18:05	28.05.1996	Жен	Москва
55	2717536435227211	Маргарита Ивановна Баранова	19.02.2017 2:56	03.07.1998	Жен	Санкт-Петербург
56	8649672108011120	Сергей Германович Белов	19.02.2017 6:54	28.01.1958	Муж	Санкт-Петербург
84	7890940514015881	Наталья Витальевна Беляева	23.02.2017 4:13	19.06.1982	Жен	Ростов-на-Дону
58	3773887219731036	Нелли Владиславовна Смирнова	19.02.2017 13:46	15.12.1940	Жен	Москва
59	1040114847397541	Инна Ивановна Кузнецова	19.02.2017 15:45	02.07.1959	Жен	Москва
147	7669395978898900	Альбина Никольевна Соловьёва	01.03.2017 23:36	07.05.1964	Жен	Москва
61	4658020583658810	Станислав Михаилович Богданов	20.02.2017 2:08	10.03.1954	Муж	Санкт-Петербург
62	1080845940007271	Виктория Викторовна Гусева	20.02.2017 4:32	26.01.1968	Жен	Казань
64	4750328756762413	Анатолий Никольевич Новиков	20.02.2017 15:52	23.02.1974	Муж	Самара
65	6064111385218203	Аркадий Романович Зайцев	20.02.2017 19:04	23.04.1959	Муж	Москва
66	3971552725966285	Римма Алексеевна Попова	20.02.2017 19:21	15.04.1960	Жен	Санкт-Петербург
72	3395569526078165	Нелли Фёдоровна Орлова	21.02.2017 17:53	29.04.1961	Жен	Казань
67	6781250939665164	Тамара Владиславовна Кузнецова	20.02.2017 22:38	09.05.1987	Жен	Москва
68	8742796764880131	Леонид Григорьевич Кудрявцев	21.02.2017 0:17	03.05.1966	Муж	Самара
69	7557353785070841	Александра Михаиловна Виноградова	21.02.2017 3:28	06.01.1998	Жен	Санкт-Петербург
70	5087666102226205	Юрий Андреевич Куликов	21.02.2017 4:43	13.04.1978	Муж	Самара
136	5509273684487144	Эдуард Вадимович Киселёв	28.02.2017 23:34	02.10.1969	Муж	Москва
71	8315302891508086	Зинаида Валерьевна Орлова	21.02.2017 7:35	10.07.1938	Жен	Екатеринбург
97	8350401346015333	Антонина Павловна Семёнова	24.02.2017 17:56	01.11.1988	Жен	Ростов-на-Дону
73	3174501370479534	Сергей Игорьевич Михайлов	21.02.2017 21:07	25.05.1984	Муж	Екатеринбург
139	3492294183893456	Анатолий Алексеевич Кудрявцев	01.03.2017 7:22	15.01.1940	Муж	Санкт-Петербург
74	9586134404293669	Клавдия Аркадьевна Васильева	22.02.2017 0:15	28.05.1990	Жен	Москва
76	4832051888371217	Борис Дмитрьевич Павлов	22.02.2017 7:46	30.04.1978	Муж	Москва
77	5171218560658601	Зинаида Анатольевна Соловьёва	22.02.2017 9:05	01.03.1994	Жен	Москва
91	5707509491849088	Антонина Витальевна Васильева	24.02.2017 1:00	30.07.1995	Жен	Москва
78	1068152008170681	Виктория Ивановна Гусева	22.02.2017 15:05	28.06.1969	Жен	Екатеринбург
79	1762784830424814	Фёдор Иванович Орлов	22.02.2017 15:26	23.01.1964	Муж	Санкт-Петербург
80	6840876958496489	Альберт Альбертович Куликов	22.02.2017 19:47	21.03.1991	Муж	Санкт-Петербург
135	7892127670841281	Надежда Романовна Кузьмина	28.02.2017 21:49	22.06.1974	Жен	Москва
82	2943087432347735	Валентин Пётрович Соловьёв	23.02.2017 1:47	05.09.1968	Муж	Санкт-Петербург
122	8019651661578266	Нина Игорьевна Павлова	27.02.2017 17:15	08.04.1960	Жен	Москва
83	9778961955099530	Зоя Евгеньевна Михайлова	23.02.2017 3:12	11.08.1961	Жен	Москва
86	3861535684648946	Лилия Владиславовна Соколова	23.02.2017 6:48	12.08.1978	Жен	Санкт-Петербург
96	1288156057375181	Михаил Львович Кудрявцев	24.02.2017 15:28	09.06.1990	Муж	Москва
88	8470498921829043	Любовь Аркадьевна Кудрявцева	23.02.2017 12:19	26.10.1991	Жен	Санкт-Петербург
89	9545362598371907	Александр Игорьевич Козлов	23.02.2017 14:18	21.05.2000	Муж	Санкт-Петербург
131	2241949376386861	Иван Григорьевич Кузьмин	28.02.2017 11:54	13.10.1968	Муж	Москва
117	3101272634569211	Ирина Васильевна Васильева	27.02.2017 2:50	18.12.1987	Жен	Санкт-Петербург
93	3998399212074600	Альбина Вадимовна Семёнова	24.02.2017 7:00	26.01.1980	Жен	Санкт-Петербург
94	9291783378424048	Людмила Васильевна Морозова	24.02.2017 10:09	27.03.1983	Жен	Казань
95	6112277876564951	Валентин Львович Андреев	24.02.2017 12:10	21.06.1987	Муж	Санкт-Петербург
99	5777490574056090	Людмила Германовна Семёнова	25.02.2017 6:54	22.10.1981	Жен	Москва
100	7006625454717490	Галина Ивановна Кудрявцева	25.02.2017 8:17	08.09.1982	Жен	Москва
142	2742886007386459	Аркадий Юрьевич Новиков	01.03.2017 18:29	09.09.1965	Муж	Екатеринбург
101	8386370603114891	Алевтина Андреевна Иванова	25.02.2017 9:17	27.06.1985	Жен	Москва
102	1719969958551266	Валентин Никольевич Михайлов	25.02.2017 13:36	24.01.1988	Муж	Москва
103	5628921077322361	Андрей Григорьевич Семёнов	25.02.2017 18:05	27.05.1980	Муж	Москва
104	6835953632599024	Константин Владиславович Соколов	25.02.2017 18:55	30.04.1937	Муж	Санкт-Петербург
106	2259410140614255	Наталья Аркадьевна Богданова	25.02.2017 22:37	11.05.1969	Жен	Москва
107	2959260169580669	Альберт Леонидович Киселёв	26.02.2017 1:07	11.02.1985	Муж	Екатеринбург
150	9987040078076733	Клавдия Германовна Баранова	02.03.2017 4:10	03.05.1983	Жен	Москва
108	8799513647857914	Леонид Романович Богданов	26.02.2017 4:38	13.02.1993	Муж	Москва
109	5029415662863994	Эдуард Олегович Голубев	26.02.2017 6:05	04.06.1980	Муж	Москва
120	6135452014210927	Александра Владимировна Волкова	27.02.2017 6:56	05.05.2001	Жен	Екатеринбург
111	4108272247940592	Антонина Константиновна Павлова	26.02.2017 9:32	27.05.1990	Жен	Москва
112	5061824341481963	Николай Константинович Павлов	26.02.2017 13:53	05.08.1970	Муж	Ростов-на-Дону
113	8638194097465763	Вера Сергеевна Морозова	26.02.2017 17:29	01.05.2001	Жен	Москва
154	3540527786545987	Алевтина Андреевна Киселёва	02.03.2017 17:11	11.08.1960	Жен	Москва
127	5025606166931926	Любовь Юрьевна Иванова	28.02.2017 5:19	17.05.2000	Жен	Новосибирск
115	4041537812714466	Александра Юрьевна Фёдорова	26.02.2017 23:13	12.09.1967	Жен	Санкт-Петербург
116	4680575941283824	Виктория Алексеевна Киселёва	27.02.2017 2:09	06.08.1966	Жен	Ростов-на-Дону
118	4233983119525043	Любовь Львовна Зайцева	27.02.2017 3:23	15.03.2000	Жен	Москва
119	6274081932737914	Андрей Васильевич Воробьёв	27.02.2017 5:12	03.04.1962	Муж	Москва
124	8572666488846977	Борис Андреевич Морозов	27.02.2017 19:50	20.09.1978	Муж	Санкт-Петербург
156	7530003008632353	Инна Анатольевна Воробьёва	02.03.2017 23:58	04.02.1940	Жен	Самара
125	4848201792153655	Евгений Андреевич Иванов	27.02.2017 22:17	11.06.1970	Муж	Москва
128	2166575468593807	Лидия Леонидовна Петрова	28.02.2017 7:00	05.03.2003	Жен	Казань
129	5613483871988302	Николай Эдуардович Андреев	28.02.2017 7:52	10.12.1991	Муж	Новосибирск
138	7170079072109806	Надежда Владиславовна Баранова	01.03.2017 6:27	27.07.1970	Жен	Екатеринбург
130	4086192436676669	Виталий Владимирович Попов	28.02.2017 10:10	04.02.1992	Муж	Москва
132	3405432238661240	Аркадий Геннадьевич Андреев	28.02.2017 12:36	19.10.2001	Муж	Новосибирск
153	8183087406513165	Зоя Борисовна Ковалёва	02.03.2017 12:19	16.07.1976	Жен	Москва
133	1590224543378427	Евгений Евгеньевич Беляев	28.02.2017 15:38	24.06.1989	Муж	Москва
134	9886867624354751	Герман Константинович Тарасов	28.02.2017 17:29	11.10.1957	Муж	Екатеринбург
140	6684676765960117	Нина Романовна Киселёва	01.03.2017 11:58	08.10.2001	Жен	Москва
141	2775647747898785	Виктор Сергеевич Зайцев	01.03.2017 17:13	13.09.1993	Муж	Москва
143	6899331138378380	Любовь Константиновна Смирнова	01.03.2017 19:15	13.05.1951	Жен	Москва
145	1893630687950674	Эдуард Сергеевич Лебедев	01.03.2017 21:16	02.12.1952	Муж	Москва
146	6343241001563135	Марина Аркадьевна Зайцева	01.03.2017 22:38	24.02.1964	Жен	Москва
148	3185158746112133	Нина Пётровна Куликова	02.03.2017 1:54	05.01.1996	Жен	Москва
149	6464136569050019	Роман Владимирович Ковалёв	02.03.2017 2:45	03.12.1982	Муж	Казань
151	9675818383722666	Сергей Пётрович Тарасов	02.03.2017 10:42	02.10.1975	Муж	Санкт-Петербург
152	7159955281781532	Елена Пётровна Тарасова	02.03.2017 11:23	30.09.2002	Жен	Екатеринбург
157	5611850735859386	Аркадий Викторович Фёдоров	03.03.2017 1:15	31.07.1965	Муж	Москва
158	2918748325626701	Григорий Викторович Орлов	03.03.2017 3:02	29.11.1963	Муж	Санкт-Петербург
159	7040233226083287	Валерий Евгеньевич Попов	03.03.2017 3:29	13.08.1988	Муж	Санкт-Петербург
155	3607965904088453	Маргарита Евгеньевна Зайцева	02.03.2017 17:25	22.03.1981	Жен	Москва
160	6998917314657442	Валентин Львович Лебедев	03.03.2017 8:16	16.07.1994	Муж	Москва
161	2887561988450590	Инна Алексеевна Кузьмина	03.03.2017 11:09	25.01.1990	Жен	Новосибирск
162	8134905520230161	Альбина Владиславовна Васильева	03.03.2017 12:02	03.05.1975	Жен	Москва
163	6015781600931293	Виталий Михаилович Белов	03.03.2017 13:06	05.09.1972	Муж	Санкт-Петербург
164	2226708456497095	Раиса Никольевна Богданова	03.03.2017 18:25	01.10.2003	Жен	Санкт-Петербург
165	7237773312087292	Светлана Игорьевна Макарова	03.03.2017 21:02	29.10.1958	Жен	Екатеринбург
166	8013484715025698	Юлия Анатольевна Кузнецова	03.03.2017 22:01	03.10.2001	Жен	Москва
167	2297226443767793	Маргарита Леонидовна Титова	04.03.2017 0:45	20.12.1990	Жен	Москва
168	5233297599559317	Герман Олегович Смирнов	04.03.2017 4:17	29.03.1996	Муж	Екатеринбург
169	4591664664345624	Лев Альбертович Тарасов	04.03.2017 7:19	08.06.1966	Муж	Санкт-Петербург
170	8594954096851254	Нелли Львовна Киселёва	04.03.2017 7:48	01.05.1982	Жен	Новосибирск
171	5521223094776526	Людмила Витальевна Баранова	04.03.2017 11:08	10.12.1981	Жен	Самара
172	6530557692384408	Валентина Дмитрьевна Ильина	04.03.2017 11:30	24.07.1972	Жен	Екатеринбург
173	1295192093092946	Ольга Германовна Новикова	04.03.2017 13:05	05.07.1989	Жен	Москва
174	6238426556659163	Раиса Борисовна Титова	04.03.2017 14:28	03.09.1982	Жен	Екатеринбург
175	3086783334075633	Борис Андреевич Козлов	04.03.2017 16:17	30.07.2004	Муж	Москва
176	8976706784687647	Фёдор Павлович Белов	04.03.2017 19:47	11.04.1996	Муж	Новосибирск
177	7995631542904254	Сергей Вячеславович Васильев	04.03.2017 20:55	30.06.1966	Муж	Санкт-Петербург
178	2126270332882905	Лилия Германовна Баранова	04.03.2017 23:06	02.03.1950	Жен	Москва
179	1110778585506598	Юлия Александровна Воробьёва	05.03.2017 0:56	05.11.1983	Жен	Москва
180	4466881975951611	Григорий Эдуардович Голубев	05.03.2017 6:50	02.04.1991	Муж	Санкт-Петербург
181	2880633164375445	Римма Валерьевна Голубева	05.03.2017 13:13	08.08.1974	Жен	Санкт-Петербург
182	4078822395340820	Фёдор Анатольевич Голубев	05.03.2017 19:51	08.12.1989	Муж	Москва
183	2468359124048625	Александр Георгьевич Соловьёв	05.03.2017 21:17	26.05.1985	Муж	Москва
184	5907661696096282	Виталий Эдуардович Соколов	06.03.2017 0:44	14.08.1933	Муж	Санкт-Петербург
185	2785664796476983	Ирина Борисовна Смирнова	06.03.2017 2:06	24.04.1966	Жен	Самара
187	6963046366738806	Иван Андреевич Зайцев	06.03.2017 4:07	24.05.1982	Муж	Екатеринбург
188	7166759971617178	Вадим Станиславович Беляев	06.03.2017 10:26	11.08.1982	Муж	Санкт-Петербург
189	8715922084077628	Тамара Викторовна Морозова	06.03.2017 12:41	05.01.1987	Жен	Казань
190	9447767922862305	Лариса Андреевна Тарасова	06.03.2017 15:00	06.07.1944	Жен	Москва
191	1573665230510907	Альбина Алексеевна Соловьёва	06.03.2017 17:48	02.07.1977	Жен	Москва
186	8136243060319803	Михаил Вадимович Попов	06.03.2017 3:44	09.03.1982	Муж	Санкт-Петербург
192	7889985124637034	Лариса Григорьевна Соловьёва	07.03.2017 5:12	16.12.1990	Жен	Москва
193	7863560507578438	Павел Леонидович Титов	07.03.2017 8:28	01.06.1989	Муж	Москва
194	7347210973318404	Анна Алексеевна Зайцева	07.03.2017 10:29	28.11.1976	Жен	Екатеринбург
195	4443290721081175	Анна Анатольевна Петрова	07.03.2017 11:34	06.05.2001	Жен	Санкт-Петербург
196	6095150168800291	Юрий Викторович Морозов	07.03.2017 12:45	20.04.1974	Муж	Москва
197	9992556541162252	Сергей Евгеньевич Кузьмин	07.03.2017 14:20	01.09.1933	Муж	Москва
198	9258532964711378	Виктория Анатольевна Воробьёва	07.03.2017 16:45	15.01.1975	Жен	Москва
199	4450828402051081	Герман Фёдорович Кузьмин	07.03.2017 19:38	01.02.1990	Муж	Москва
200	1306126739441278	Олег Дмитрьевич Ильин	07.03.2017 21:47	26.12.1975	Муж	Казань
201	3276163185517980	Галина Валентиновна Лебедева	08.03.2017 0:42	04.01.1967	Жен	Москва
202	3175871746030219	Александр Владиславович Андреев	08.03.2017 5:07	10.11.1979	Муж	Москва
203	9504373842483436	Александра Алексеевна Зайцева	08.03.2017 7:03	09.11.1978	Жен	Москва
204	9605085389554978	Георгий Евгеньевич Зайцев	08.03.2017 7:30	28.08.1951	Муж	Москва
205	5190965088049671	Екатерина Никольевна Белова	08.03.2017 8:51	26.01.1980	Жен	Санкт-Петербург
206	5868222420346491	Павел Борисович Иванов	08.03.2017 12:34	29.03.1998	Муж	Екатеринбург
207	4738464074389462	Вадим Сергеевич Макаров	08.03.2017 14:21	09.08.1999	Муж	Казань
208	7230928396240768	Георгий Аркадьевич Новиков	08.03.2017 17:05	27.09.2001	Муж	Санкт-Петербург
209	1345186792746874	Виктория Алексеевна Гусева	08.03.2017 18:59	11.07.1986	Жен	Москва
210	5493808303613031	Валерий Леонидович Петров	08.03.2017 21:57	10.03.2003	Муж	Москва
211	8110569920914877	Татьяна Евгеньевна Козлова	09.03.2017 0:35	20.07.1983	Жен	Екатеринбург
212	7251591848512595	Станислав Львович Богданов	09.03.2017 4:09	13.01.1954	Муж	Москва
213	1796153360316671	Нелли Григорьевна Новикова	09.03.2017 5:10	11.05.1975	Жен	Новосибирск
214	9231837653886098	Мария Романовна Соловьёва	09.03.2017 10:28	21.01.1938	Жен	Санкт-Петербург
215	2424658956801352	Игорь Львович Комаров	09.03.2017 11:19	04.11.1995	Муж	Москва
216	9140595363875066	Александр Вадимович Воробьёв	09.03.2017 22:06	18.04.1987	Муж	Москва
218	3548213386228811	Зоя Львовна Киселёва	10.03.2017 2:08	01.04.1979	Жен	Москва
219	1823526708620675	Геннадий Владиславович Баранов	10.03.2017 3:26	15.06.1983	Муж	Санкт-Петербург
220	9709315950451009	Лариса Эдуардовна Беляева	10.03.2017 6:09	30.05.1982	Жен	Москва
221	9170900094561642	Станислав Фёдорович Кудрявцев	10.03.2017 10:31	04.10.1973	Муж	Санкт-Петербург
222	6445254343957272	Марина Романовна Волкова	10.03.2017 13:02	29.11.1966	Жен	Казань
223	2911638062230507	Георгий Эдуардович Морозов	10.03.2017 16:19	27.02.1988	Муж	Санкт-Петербург
217	4702859630435005	Роман Григорьевич Виноградов	09.03.2017 22:58	16.02.1947	Муж	Новосибирск
224	7396445952103747	Валентин Львович Кузьмин	10.03.2017 18:15	26.10.1964	Муж	Санкт-Петербург
225	8631822857457070	Валерий Геннадьевич Попов	10.03.2017 18:49	27.05.1990	Муж	Москва
226	5067088040823727	Борис Андреевич Ильин	10.03.2017 22:23	03.02.1977	Муж	Москва
227	6240833902205175	Дмитрий Евгеньевич Баранов	10.03.2017 22:28	18.11.1990	Муж	Самара
228	4549541283595971	Константин Леонидович Соколов	11.03.2017 6:02	04.06.1979	Муж	Санкт-Петербург
229	8442902358990900	Зоя Георгьевна Богданова	11.03.2017 7:34	18.12.1993	Жен	Москва
230	7481674698673478	Анна Валерьевна Тарасова	11.03.2017 8:57	20.12.1974	Жен	Самара
231	1573069649383624	Лариса Эдуардовна Куликова	11.03.2017 10:59	24.11.1981	Жен	Москва
232	9019080531772038	Нина Викторовна Павлова	11.03.2017 19:22	08.05.1975	Жен	Новосибирск
233	1895560715713318	Маргарита Ивановна Попова	11.03.2017 23:41	16.02.1977	Жен	Москва
234	1539165833833909	Николай Григорьевич Зайцев	12.03.2017 0:10	25.07.1957	Муж	Санкт-Петербург
235	9807038464955801	Геннадий Валентинович Соловьёв	12.03.2017 2:38	28.11.2001	Муж	Москва
236	6861062811188789	Константин Викторович Козлов	12.03.2017 4:53	18.04.1964	Муж	Екатеринбург
237	1201636928441081	Геннадий Валерьевич Баранов	12.03.2017 5:28	14.10.1994	Муж	Москва
238	8087941395488017	Эдуард Георгьевич Киселёв	12.03.2017 7:08	09.03.2001	Муж	Москва
239	7977938462889102	Роман Пётрович Гусев	12.03.2017 9:41	23.04.1990	Муж	Москва
240	5062737877387810	Леонид Борисович Богданов	12.03.2017 10:41	04.12.1983	Муж	Москва
241	5677189923386921	Григорий Валентинович Ковалёв	12.03.2017 11:38	02.09.1980	Муж	Москва
242	6867537232062149	Юрий Анатольевич Лебедев	12.03.2017 13:20	28.04.1976	Муж	Москва
243	1915125442180871	Сергей Игорьевич Попов	12.03.2017 14:12	13.10.1957	Муж	Санкт-Петербург
244	1848493489495579	Марина Георгьевна Воробьёва	12.03.2017 21:24	16.04.1979	Жен	Екатеринбург
245	3090445237972050	Виктория Романовна Фёдорова	12.03.2017 23:39	11.07.1964	Жен	Москва
246	7503736198976913	Георгий Евгеньевич Комаров	13.03.2017 1:24	08.02.1986	Муж	Москва
247	6776379317157165	Надежда Олеговна Куликова	13.03.2017 4:23	31.05.1971	Жен	Санкт-Петербург
249	8648790551515140	Владимир Юрьевич Виноградов	13.03.2017 8:00	21.12.1984	Муж	Ростов-на-Дону
250	1609721331829251	Сергей Юрьевич Виноградов	13.03.2017 9:17	10.06.2000	Муж	Москва
251	6816439551396205	Леонид Германович Тарасов	13.03.2017 14:56	23.03.2004	Муж	Москва
252	1551206492779808	Михаил Анатольевич Михайлов	13.03.2017 18:17	02.01.2002	Муж	Москва
253	1043604178706540	Герман Александрович Иванов	13.03.2017 20:57	19.04.1990	Муж	Казань
254	5166010405687958	Сергей Эдуардович Куликов	14.03.2017 2:03	13.12.1980	Муж	Москва
255	1800019360383662	Анатолий Витальевич Кудрявцев	14.03.2017 4:11	25.01.1979	Муж	Санкт-Петербург
248	4387477008605477	Виталий Валерьевич Петров	13.03.2017 7:18	08.03.1981	Муж	Санкт-Петербург
256	3902916091909357	Пётр Борисович Андреев	14.03.2017 8:29	21.03.1971	Муж	Санкт-Петербург
257	1641245576203886	Алла Анатольевна Новикова	14.03.2017 11:23	01.09.1966	Жен	Санкт-Петербург
258	5248004599555769	Анатолий Аркадьевич Козлов	14.03.2017 12:59	06.08.1979	Муж	Москва
259	6645431821945629	Галина Андреевна Белова	14.03.2017 17:51	09.11.1989	Жен	Самара
260	6560123055134666	Александра Германовна Михайлова	14.03.2017 20:25	08.07.1995	Жен	Новосибирск
261	5606808364031815	Юрий Вячеславович Иванов	15.03.2017 0:10	19.02.1970	Муж	Санкт-Петербург
262	6456922064136208	Инна Михаиловна Фёдорова	15.03.2017 1:10	09.06.2001	Жен	Ростов-на-Дону
263	1061733060296974	Борис Сергеевич Макаров	15.03.2017 2:37	07.10.1933	Муж	Москва
264	3381617164582317	Олег Пётрович Фёдоров	15.03.2017 4:37	13.01.1942	Муж	Новосибирск
265	1313368043939276	Раиса Витальевна Соловьёва	15.03.2017 8:25	29.08.1980	Жен	Самара
266	8633959350430786	Вера Александровна Комарова	15.03.2017 10:21	23.01.1999	Жен	Самара
267	9348445665949439	Екатерина Викторовна Козлова	15.03.2017 13:05	04.03.1978	Жен	Казань
268	2299847312364999	Инна Александровна Комарова	15.03.2017 18:17	23.07.1990	Жен	Ростов-на-Дону
